id,name,origin,teaType,ingredients,flavorProfile,bitterness,sweetness,floralNotes,spiceLevel,aroma,caffeine,calories,preparationTime,steepTemperature,waterRatio,healthBenefits,moodTags,season,price,rating,reviewsCount,description,foodPairings,imageUrl
TEA-IN-0001,Margaret's Hope Golden Tips,Darjeeling (Makaibari),Darjeeling,100% Hand-Picked Camellia Sinensis Single Estate Darjeeling Leaves,Muscatel; Honey; Floral,2.1,7.9,9.0,1.8,8.2,40,0,3,83,2.5g per 200ml (or 1:1 milk-water for Chai),High Antioxidants; Cellular Protection; Gentle Vitality; Heart Wellness,Refreshed; Meditative; Focused; Calm,Second Flush Summer,739.0,4.56,203,"An exquisite handcrafted darjeeling harvest from the famed terroirs of Darjeeling (Makaibari). Imbued with prominent sensory notes of Muscatel, Honey, Floral, this blend exhibits an aroma rating of 8.2/10. Specially curated for refreshed, meditative rituals, it offers potent high antioxidants, cellular protection.",Traditional Osmania Butter Biscuits; Warm Cardamom Nankhatai; Irani Cafe Bun Maska & Chai,https://images.unsplash.com/photo-1594631252845-29fc4cc8cde9?auto=format&fit=crop&w=800&q=80
TEA-IN-0002,Smoked Wild Bamboo Assam Lot #650,Assam (Upper Brahmaputra Valley),Assam,100% High-Grade Assam Whole Leaf & Golden Buds (Camellia Sinensis var. Assamica),Honey; Caramel; Toasted Grain; Malty; Dark Cocoa,7.2,3.3,1.9,3.4,9.2,62,1,4,95,2.5g per 200ml (or 1:1 milk-water for Chai),Digestive Power; Immune Strength,Uplifted; Motivated; Focused,All Season,1143.0,4.74,331,"An exquisite handcrafted assam harvest from the famed terroirs of Assam (Upper Brahmaputra Valley). Imbued with prominent sensory notes of Honey, Caramel, Toasted Grain, this blend exhibits an aroma rating of 9.2/10. Specially curated for uplifted, motivated rituals, it offers potent digestive power, immune strength.",Poha with Roasted Peanuts; Traditional Osmania Butter Biscuits; Warm Cardamom Nankhatai,https://images.unsplash.com/photo-1514733670139-4d87a1941d55?auto=format&fit=crop&w=800&q=80
TEA-IN-0003,Fiery Adrak & Kali Mirch Kadak Chai Lot #268,Delhi Old Quarter,Masala Chai,"Assam CTC Black Tea, Green Cardamom Pods, Crushed Dry Ginger, Ceylon Cinnamon, Cloves, Black Pepper, Star Anise, Saffron",Spicy; Creamy; Ginger (Adrak); Cardamom (Elaichi),3.8,8.2,3.1,8.0,9.3,63,18,4,95,2.5g per 200ml (or 1:1 milk-water for Chai),Digestive Comfort; Cold & Cough Relief; Anti-inflammatory; Instant Warming,Refreshed; Uplifted; Comforting,Winter Warmth,394.0,4.7,318,"An exquisite handcrafted masala chai harvest from the famed terroirs of Delhi Old Quarter. Imbued with prominent sensory notes of Spicy, Creamy, Ginger (Adrak), this blend exhibits an aroma rating of 9.3/10. Specially curated for refreshed, uplifted rituals, it offers potent digestive comfort, cold & cough relief.",Shrewsbury Butter Biscuits; Traditional Osmania Butter Biscuits,https://images.unsplash.com/photo-1571934811356-5cc061b6821f?auto=format&fit=crop&w=800&q=80
TEA-IN-0004,Gulmarg Winter Spice Kahwa Lot #242,Kashmir (Srinagar Valley),Kashmir Kahwa,"Kashmiri Green Tea Leaves, Pampore Pure Saffron Strands, Green Cardamom, Cinnamon, Crushed Almond Slivers, Dried Rose Petals",Saffron (Kesar); Cinnamon; Sweet Almond; Floral Honey; Nutty,1.2,6.1,6.4,6.9,9.8,21,0,4,83,2.5g per 200ml (or 1:1 milk-water for Chai),Stress Relief; Digestive Fire; Skin Glow & Radiance; Immunity Boost,Refreshed; Meditative,All Season,1725.0,4.48,276,"An exquisite handcrafted kashmir kahwa harvest from the famed terroirs of Kashmir (Srinagar Valley). Imbued with prominent sensory notes of Saffron (Kesar), Cinnamon, Sweet Almond, this blend exhibits an aroma rating of 9.8/10. Specially curated for refreshed, meditative rituals, it offers potent stress relief, digestive fire.",Gulab Jamun with Rosewater Syrup; Crisp Hot Samosas with Mint & Tamarind Chutney,https://images.unsplash.com/photo-1576092768241-dec231879fc3?auto=format&fit=crop&w=800&q=80
TEA-IN-0005,Blue Mountain Aromatic Orthdox Lot #620 '24,Nilgiri (Ooty Highlands),Nilgiri,100% High-Elevation Nilgiri Camellia Sinensis,Bright Citrus; Floral; Crisp Fruit; Sweet Melon,1.9,6.4,8.9,2.3,9.4,46,3,3,86,2.5g per 200ml (or 1:1 milk-water for Chai),Antioxidant Rich; Gentle Alertness,Refreshed; Uplifted,Autumnal Harvest,1391.0,4.41,290,"An exquisite handcrafted nilgiri harvest from the famed terroirs of Nilgiri (Ooty Highlands). Imbued with prominent sensory notes of Bright Citrus, Floral, Crisp Fruit, this blend exhibits an aroma rating of 9.4/10. Specially curated for refreshed, uplifted rituals, it offers potent antioxidant rich, gentle alertness.",Poha with Roasted Peanuts; Irani Cafe Bun Maska & Chai,https://images.unsplash.com/photo-1546852199-2d8e8c4aa477?auto=format&fit=crop&w=800&q=80
TEA-IN-0006,Brahmi & Shankhpushpi Memory Tonic Lot #509 '26,Himalayan Foothills,Ayurvedic Tisane,"Organic Tulsi (Holy Basil), Ashwagandha Root, Wild Himalayan Turmeric, Brahmi Leaves, Licorice (Mulethi), Fennel Seeds (Saunf), Lemongrass",Cooling; Herbal; Botanical,1.4,7.6,5.8,3.0,7.6,0,4,5,99,2.5g per 200ml (or 1:1 milk-water for Chai),Cortisol / Stress Reduction; Immunity Fortification; Joint & Anti-inflammatory; Deep Restful Sleep,Calm; Relaxed; Meditative,All Season,908.0,4.69,262,"An exquisite handcrafted ayurvedic tisane harvest from the famed terroirs of Himalayan Foothills. Imbued with prominent sensory notes of Cooling, Herbal, Botanical, this blend exhibits an aroma rating of 7.6/10. Specially curated for calm, relaxed rituals, it offers potent cortisol / stress reduction, immunity fortification.",Shrewsbury Butter Biscuits; Traditional Osmania Butter Biscuits; Irani Cafe Bun Maska & Chai,https://images.unsplash.com/photo-1597481499750-3e6b22637e12?auto=format&fit=crop&w=800&q=80
TEA-IN-0007,Himalayan Cedar Scented Kangra,Himachal Pradesh (Dharamshala),Kangra Valley,100% Certified GI Tagged Kangra Valley Whole Leaf Tea,Roasted Corn; Sweet Vegetal; Pine Mist; Nutty; Mellow Green,2.1,6.6,6.6,1.6,8.3,44,0,2,81,2.5g per 200ml (or 1:1 milk-water for Chai),Antioxidant Shield; Digestive Ease; High Polyphenols; Peaceful Focus,Calm; Meditative; Focused,All Season,1249.0,4.87,67,"An exquisite handcrafted kangra valley harvest from the famed terroirs of Himachal Pradesh (Dharamshala). Imbued with prominent sensory notes of Roasted Corn, Sweet Vegetal, Pine Mist, this blend exhibits an aroma rating of 8.3/10. Specially curated for calm, meditative rituals, it offers potent antioxidant shield, digestive ease.",Shrewsbury Butter Biscuits; Crisp Hot Samosas with Mint & Tamarind Chutney; Kolkata Style Kathi Rolls,https://images.unsplash.com/photo-1576092768241-dec231879fc3?auto=format&fit=crop&w=800&q=80
TEA-IN-0008,Kanchenjunga Mist Golden Tips Lot #319 '24,Sikkim (Ravangla Highlands),Sikkim Temi,100% Organic Single Estate Temi Leaves,Honeyed Wood; Sweet Floral; Muscatel,1.8,6.0,7.5,2.9,9.2,35,5,4,86,2.5g per 200ml (or 1:1 milk-water for Chai),Cardiovascular Support; Pure Organic Nutrition; L-Theanine Serenity; Skin Vitality,Meditative; Serene,Monsoon Special,1472.0,4.35,54,"An exquisite handcrafted sikkim temi harvest from the famed terroirs of Sikkim (Ravangla Highlands). Imbued with prominent sensory notes of Honeyed Wood, Sweet Floral, Muscatel, this blend exhibits an aroma rating of 9.2/10. Specially curated for meditative, serene rituals, it offers potent cardiovascular support, pure organic nutrition.",Shrewsbury Butter Biscuits; Crisp Hot Samosas with Mint & Tamarind Chutney,https://images.unsplash.com/photo-1546852199-2d8e8c4aa477?auto=format&fit=crop&w=800&q=80
TEA-IN-0009,Misty Mountain Bio-Dynamic First Flush Lot #684,Darjeeling (Makaibari),Darjeeling,100% Hand-Picked Camellia Sinensis Single Estate Darjeeling Leaves,Citrus Zest; Floral; Green Apple; Pine Wood,3.0,7.5,8.3,1.4,9.0,53,1,4,83,2.5g per 200ml (or 1:1 milk-water for Chai),Mental Clarity; High Antioxidants; Gentle Vitality,Calm; Uplifted; Meditative,First Flush Spring,2277.0,4.9,145,"An exquisite handcrafted darjeeling harvest from the famed terroirs of Darjeeling (Makaibari). Imbued with prominent sensory notes of Citrus Zest, Floral, Green Apple, this blend exhibits an aroma rating of 9.0/10. Specially curated for calm, uplifted rituals, it offers potent mental clarity, high antioxidants.",Shrewsbury Butter Biscuits; Warm Cardamom Nankhatai,https://images.unsplash.com/photo-1594631252845-29fc4cc8cde9?auto=format&fit=crop&w=800&q=80
TEA-IN-0010,Smoked Wild Bamboo Assam Lot #657 '26,Assam (Jorhat),Assam,100% High-Grade Assam Whole Leaf & Golden Buds (Camellia Sinensis var. Assamica),Dark Cocoa; Molasses; Woody,7.4,5.8,2.6,3.5,8.4,82,0,4,97,2.5g per 200ml (or 1:1 milk-water for Chai),Cardiovascular Support; Immune Strength,Energetic; Focused; Cozy; Uplifted,All Season,681.0,4.49,21,"An exquisite handcrafted assam harvest from the famed terroirs of Assam (Jorhat). Imbued with prominent sensory notes of Dark Cocoa, Molasses, Woody, this blend exhibits an aroma rating of 8.4/10. Specially curated for energetic, focused rituals, it offers potent cardiovascular support, immune strength.",Crisp Hot Samosas with Mint & Tamarind Chutney; Kolkata Style Kathi Rolls; Warm Cardamom Nankhatai,https://images.unsplash.com/photo-1571934811356-5cc061b6821f?auto=format&fit=crop&w=800&q=80
TEA-IN-0011,Fiery Adrak & Kali Mirch Kadak Chai,Kolkata Street Estate,Masala Chai,"Assam CTC Black Tea, Green Cardamom Pods, Crushed Dry Ginger, Ceylon Cinnamon, Cloves, Black Pepper, Star Anise, Saffron",Cardamom (Elaichi); Ginger (Adrak); Cinnamon (Dalchini); Sweet Heat; Spicy,5.1,6.5,1.3,9.9,9.7,44,17,5,99,2.5g per 200ml (or 1:1 milk-water for Chai),Cold & Cough Relief; Digestive Comfort; Immunity Shield,Refreshed; Energetic; Cozy; Comforting,First Flush Spring,734.0,4.32,397,"An exquisite handcrafted masala chai harvest from the famed terroirs of Kolkata Street Estate. Imbued with prominent sensory notes of Cardamom (Elaichi), Ginger (Adrak), Cinnamon (Dalchini), this blend exhibits an aroma rating of 9.7/10. Specially curated for refreshed, energetic rituals, it offers potent cold & cough relief, digestive comfort.",Traditional Osmania Butter Biscuits; Irani Cafe Bun Maska & Chai,https://images.unsplash.com/photo-1571934811356-5cc061b6821f?auto=format&fit=crop&w=800&q=80
TEA-IN-0012,Pink Salted Noon Chai (Sheer Chai) Lot #931,Kashmir (Gulmarg Hills),Kashmir Kahwa,"Kashmiri Green Tea Leaves, Pampore Pure Saffron Strands, Green Cardamom, Cinnamon, Crushed Almond Slivers, Dried Rose Petals",Cardamom; Delicate Green; Saffron (Kesar),1.3,8.1,7.3,5.1,9.5,17,3,4,82,2.5g per 200ml (or 1:1 milk-water for Chai),Calming Warmth; Skin Glow & Radiance; Immunity Boost,Refreshed; Meditative; Calm,First Flush Spring,1312.0,4.97,39,"An exquisite handcrafted kashmir kahwa harvest from the famed terroirs of Kashmir (Gulmarg Hills). Imbued with prominent sensory notes of Cardamom, Delicate Green, Saffron (Kesar), this blend exhibits an aroma rating of 9.5/10. Specially curated for refreshed, meditative rituals, it offers potent calming warmth, skin glow & radiance.",Crisp Hot Samosas with Mint & Tamarind Chutney; Kolkata Style Kathi Rolls; Warm Cardamom Nankhatai,https://images.unsplash.com/photo-1576092768241-dec231879fc3?auto=format&fit=crop&w=800&q=80
